plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score,reock
0,12.508,,76,0,0.0,0.0,-1.2858387201879562,
1,12.508,,76,0,0.0,0.0,-1.2858387201879562,
2,12.508,,73,0,0.0,0.0,-1.250544602540939,
3,12.508,,71,0,0.0,0.0,-1.2270151907762608,
4,12.508,,74,0,0.0,0.0,-1.262309308423278,
5,12.508,,71,0,0.0,0.0,-1.2270151907762608,
6,12.508,,71,0,0.0,0.0,-1.2270151907762608,
7,12.508,,71,0,0.0,0.0,-1.2270151907762608,
8,10.936,,70,0,0.0,0.0,-1.1104504848946202,
9,10.936,,70,0,0.0,0.0,-1.1104504848946202,
10,14.657,,72,0,0.0,0.0,-1.3820465633243113,
11,12.006,,69,0,0.0,0.0,-1.170019112345139,
12,12.006,,69,0,0.0,0.0,-1.170019112345139,
13,12.006,,72,0,0.0,0.0,-1.2053132299921565,
14,12.006,,71,0,0.0,0.0,-1.1935485241098172,
15,12.006,,70,0,0.0,0.0,-1.181783818227478,
16,13.391,,69,0,0.0,0.0,-1.2623524456778568,
17,13.391,,69,0,0.0,0.0,-1.2623524456778568,
18,13.391,,69,0,0.0,0.0,-1.2623524456778568,
19,13.391,,69,0,0.0,0.0,-1.2623524456778568,
20,13.391,,69,0,0.0,0.0,-1.2623524456778568,
21,12.006,,74,0,0.0,0.0,-1.2288426417568346,
22,13.613,,74,0,0.0,0.0,-1.3359759750894535,
23,12.006,,75,0,0.0,0.0,-1.2406073476391737,
24,12.006,,72,0,0.0,0.0,-1.2053132299921565,
25,12.006,,71,0,0.0,0.0,-1.1935485241098172,
26,12.006,,71,0,0.0,0.0,-1.1935485241098172,
27,12.006,,77,0,0.0,0.0,-1.2641367594038515,
28,13.096,,79,0,0.0,0.0,-1.360332837834712,
29,13.096,,79,0,0.0,0.0,-1.360332837834712,
30,13.096,,74,0,0.0,0.0,-1.3015093084230167,
31,13.096,,74,0,0.0,0.0,-1.3015093084230167,
32,13.096,,73,0,0.0,0.0,-1.2897446025406776,
33,13.096,,73,0,0.0,0.0,-1.2897446025406776,
34,12.476,,71,0,0.0,0.0,-1.2248818574429416,
35,12.476,,71,0,0.0,0.0,-1.2248818574429416,
36,12.476,,72,0,0.0,0.0,-1.2366465633252808,
37,12.476,,72,0,0.0,0.0,-1.2366465633252808,
38,12.476,,72,0,0.0,0.0,-1.2366465633252808,
39,12.476,,74,0,0.0,0.0,-1.2601759750899588,
40,12.476,,74,0,0.0,0.0,-1.2601759750899588,
41,12.476,,72,0,0.0,0.0,-1.2366465633252808,
42,13.435,,72,0,0.0,0.0,-1.300579896658188,
43,13.435,,74,0,0.0,0.0,-1.324109308422866,
44,13.435,,75,0,0.0,0.0,-1.335874014305205,
45,13.435,,77,0,0.0,0.0,-1.3594034260698833,
46,13.435,,77,0,0.0,0.0,-1.3594034260698833,
47,13.435,,77,0,0.0,0.0,-1.3594034260698833,
48,13.435,,74,0,0.0,0.0,-1.324109308422866,
49,13.435,,73,0,0.0,0.0,-1.312344602540527,
50,13.435,,73,0,0.0,0.0,-1.312344602540527,
51,13.435,,73,0,0.0,0.0,-1.312344602540527,
52,13.435,,73,0,0.0,0.0,-1.312344602540527,
53,13.435,,73,0,0.0,0.0,-1.312344602540527,
54,13.435,,72,0,0.0,0.0,-1.300579896658188,
55,13.435,,72,0,0.0,0.0,-1.300579896658188,
56,13.435,,70,0,0.0,0.0,-1.2770504848935096,
57,13.435,,70,0,0.0,0.0,-1.2770504848935096,
58,13.435,,70,0,0.0,0.0,-1.2770504848935096,
59,14.403,,73,0,0.0,0.0,-1.3768779358734302,
60,14.403,,75,0,0.0,0.0,-1.4004073476381085,
61,14.403,,75,0,0.0,0.0,-1.4004073476381085,
62,14.403,,76,0,0.0,0.0,-1.4121720535204474,
63,14.403,,76,0,0.0,0.0,-1.4121720535204474,
64,14.403,,75,0,0.0,0.0,-1.4004073476381085,
65,14.403,,76,0,0.0,0.0,-1.4121720535204474,
66,14.403,,74,0,0.0,0.0,-1.3886426417557691,
67,14.403,,74,0,0.0,0.0,-1.3886426417557691,
68,14.062,,77,0,0.0,0.0,-1.401203426069605,
69,14.571,,76,0,0.0,0.0,-1.4233720535203729,
70,14.571,,75,0,0.0,0.0,-1.4116073476380335,
71,14.571,,75,0,0.0,0.0,-1.4116073476380335,
72,14.571,,68,0,0.0,0.0,-1.3292544064616598,
73,14.571,,68,0,0.0,0.0,-1.3292544064616598,
74,14.571,,72,0,0.0,0.0,-1.376313229991016,
75,14.571,,72,0,0.0,0.0,-1.376313229991016,
76,14.571,,72,0,0.0,0.0,-1.376313229991016,
77,14.571,,72,0,0.0,0.0,-1.376313229991016,
78,14.571,,70,0,0.0,0.0,-1.352783818226338,
79,12.86,,68,0,0.0,0.0,-1.2151877397957536,
80,9.731,,66,0,0.0,0.0,-0.983058328032466,
81,9.731,,67,0,0.0,0.0,-0.9948230339148052,
82,9.731,,67,0,0.0,0.0,-0.9948230339148052,
83,9.363,,69,0,0.0,0.0,-0.9938191123463136,
84,11.843,,70,0,0.0,0.0,-1.1709171515608836,
85,14.631,,71,0,0.0,0.0,-1.3685485241086504,
86,14.631,,73,0,0.0,0.0,-1.3920779358733286,
87,11.917,,71,0,0.0,0.0,-1.187615190776523,
88,11.877,,67,0,0.0,0.0,-1.137889700580518,
89,11.877,,67,0,0.0,0.0,-1.137889700580518,
90,11.877,,70,0,0.0,0.0,-1.1731838182275354,
91,10.158,,73,0,0.0,0.0,-1.0938779358753168,
92,10.158,,73,0,0.0,0.0,-1.0938779358753168,
93,10.158,,73,0,0.0,0.0,-1.0938779358753168,
94,10.158,,69,0,0.0,0.0,-1.0468191123459605,
95,9.418,,70,0,0.0,0.0,-1.0092504848952948,
96,9.418,,70,0,0.0,0.0,-1.0092504848952948,
97,9.418,,70,0,0.0,0.0,-1.0092504848952948,
98,10.41,,71,0,0.0,0.0,-1.0871485241105263,
99,10.41,,71,0,0.0,0.0,-1.0871485241105263,
100,10.41,,71,0,0.0,0.0,-1.0871485241105263,
101,14.124,,73,0,0.0,0.0,-1.358277935873554,
102,14.124,,76,0,0.0,0.0,-1.3935720535205711,
103,14.124,,75,0,0.0,0.0,-1.3818073476382322,
104,14.302,,74,0,0.0,0.0,-1.3819093084224807,
105,14.302,,72,0,0.0,0.0,-1.3583798966578025,
106,14.302,,70,0,0.0,0.0,-1.3348504848931242,
107,14.302,,70,0,0.0,0.0,-1.3348504848931242,
108,14.302,,71,0,0.0,0.0,-1.346615190775463,
109,14.302,,70,0,0.0,0.0,-1.3348504848931242,
110,14.302,,70,0,0.0,0.0,-1.3348504848931242,
111,12.54,,70,0,0.0,0.0,-1.2173838182272405,
112,12.54,,70,0,0.0,0.0,-1.2173838182272405,
113,12.54,,69,0,0.0,0.0,-1.2056191123449016,
114,14.126,,69,0,0.0,0.0,-1.31135244567753,
115,14.126,,70,0,0.0,0.0,-1.323117151559869,
116,14.228,,71,0,0.0,0.0,-1.341681857442163,
117,14.228,,71,0,0.0,0.0,-1.341681857442163,
118,14.228,,71,0,0.0,0.0,-1.341681857442163,
119,14.228,,71,0,0.0,0.0,-1.341681857442163,
120,14.557,,67,0,0.0,0.0,-1.3165563672459937,
121,14.557,,71,0,0.0,0.0,-1.36361519077535,
122,14.557,,71,0,0.0,0.0,-1.36361519077535,
123,14.557,,71,0,0.0,0.0,-1.36361519077535,
124,14.036,,74,0,0.0,0.0,-1.3641759750892657,
125,14.036,,75,0,0.0,0.0,-1.3759406809716046,
126,14.036,,75,0,0.0,0.0,-1.3759406809716046,
127,14.036,,75,0,0.0,0.0,-1.3759406809716046,
128,14.557,,72,0,0.0,0.0,-1.3753798966576891,
129,14.557,,74,0,0.0,0.0,-1.3989093084223674,
130,14.557,,72,0,0.0,0.0,-1.3753798966576891,
131,14.557,,72,0,0.0,0.0,-1.3753798966576891,
132,12.096,,71,0,0.0,0.0,-1.199548524109777,
133,12.096,,76,0,0.0,0.0,-1.2583720535214726,
134,12.096,,76,0,0.0,0.0,-1.2583720535214726,
135,14.642,,76,0,0.0,0.0,-1.4281053868536744,
136,14.642,,77,0,0.0,0.0,-1.4398700927360135,
137,14.642,,81,0,0.0,0.0,-1.4869289162653698,
138,14.642,,77,0,0.0,0.0,-1.4398700927360135,
139,14.642,,73,0,0.0,0.0,-1.392811269206657,
140,14.642,,68,0,0.0,0.0,-1.3339877397949615,
141,14.642,,68,0,0.0,0.0,-1.3339877397949615,
142,14.642,,68,0,0.0,0.0,-1.3339877397949615,
143,14.642,,71,0,0.0,0.0,-1.3692818574419787,
144,14.642,,71,0,0.0,0.0,-1.3692818574419787,
145,14.642,,76,0,0.0,0.0,-1.4281053868536744,
146,14.642,,76,0,0.0,0.0,-1.4281053868536744,
147,14.642,,73,0,0.0,0.0,-1.392811269206657,
148,14.642,,73,0,0.0,0.0,-1.392811269206657,
149,14.642,,68,0,0.0,0.0,-1.3339877397949615,
150,14.642,,70,0,0.0,0.0,-1.3575171515596396,
151,14.642,,67,0,0.0,0.0,-1.3222230339126224,
152,14.642,,65,0,0.0,0.0,-1.2986936221479444,
153,13.3,,67,0,0.0,0.0,-1.2327563672465522,
154,13.3,,67,0,0.0,0.0,-1.2327563672465522,
155,13.3,,71,0,0.0,0.0,-1.2798151907759086,
156,13.3,,71,0,0.0,0.0,-1.2798151907759086,
157,13.3,,67,0,0.0,0.0,-1.2327563672465522,
158,13.3,,67,0,0.0,0.0,-1.2327563672465522,
159,13.3,,67,0,0.0,0.0,-1.2327563672465522,
160,13.3,,65,0,0.0,0.0,-1.2092269554818742,
161,10.312,,66,0,0.0,0.0,-1.0217916613655411,
162,10.312,,66,0,0.0,0.0,-1.0217916613655411,
163,10.312,,66,0,0.0,0.0,-1.0217916613655411,
164,10.312,,66,0,0.0,0.0,-1.0217916613655411,
165,10.722,,67,0,0.0,0.0,-1.0608897005810314,
166,10.722,,67,0,0.0,0.0,-1.0608897005810314,
167,10.722,,67,0,0.0,0.0,-1.0608897005810314,
168,10.722,,67,0,0.0,0.0,-1.0608897005810314,
169,11.028,,65,0,0.0,0.0,-1.0577602888162172,
170,11.028,,65,0,0.0,0.0,-1.0577602888162172,
171,11.028,,65,0,0.0,0.0,-1.0577602888162172,
172,11.028,,66,0,0.0,0.0,-1.0695249946985563,
173,10.954,,64,0,0.0,0.0,-1.0410622496005777,
174,14.557,,66,0,0.0,0.0,-1.3047916613636543,
175,14.77,,66,0,0.0,0.0,-1.31899166136356,
176,14.77,,66,0,0.0,0.0,-1.31899166136356,
177,14.557,,68,0,0.0,0.0,-1.3283210731283326,
178,14.557,,67,0,0.0,0.0,-1.3165563672459937,
179,14.557,,69,0,0.0,0.0,-1.3400857790106715,
180,14.557,,69,0,0.0,0.0,-1.3400857790106715,
181,14.557,,69,0,0.0,0.0,-1.3400857790106715,
182,14.557,,69,0,0.0,0.0,-1.3400857790106715,
183,14.557,,69,0,0.0,0.0,-1.3400857790106715,
184,14.557,,69,0,0.0,0.0,-1.3400857790106715,
185,14.557,,69,0,0.0,0.0,-1.3400857790106715,
186,14.557,,66,0,0.0,0.0,-1.3047916613636543,
187,14.557,,66,0,0.0,0.0,-1.3047916613636543,
188,14.557,,64,0,0.0,0.0,-1.2812622495989765,
189,14.557,,64,0,0.0,0.0,-1.2812622495989765,
190,13.2,,66,0,0.0,0.0,-1.214324994697591,
191,7.358,,63,0,0.0,0.0,-0.7895642103865035,
192,7.358,,63,0,0.0,0.0,-0.7895642103865035,
193,9.446,,64,0,0.0,0.0,-0.9405289162679143,
194,9.446,,64,0,0.0,0.0,-0.9405289162679143,
195,9.446,,68,0,0.0,0.0,-0.9875877397972708,
196,9.446,,68,0,0.0,0.0,-0.9875877397972708,
197,13.68,,66,0,0.0,0.0,-1.2463249946973778,
