Distrito,Personas,N_Comunas,Desv_%
0,930462,11,0.58
1,899725,4,-2.74
2,948257,6,2.5
3,959365,9,3.7
4,852876,5,-7.81
5,911092,7,-1.51
6,956042,8,3.35
7,942921,2,1.93
