Distrito,Personas,N_APC,N_Comunas,Desv_%
0,967834,71,9,4.62
1,1012905,80,17,9.49
2,832602,45,8,-10.0
3,983596,62,11,6.32
4,861786,56,11,-6.84
5,982364,49,6,6.19
6,909772,52,9,-1.66
7,849881,36,7,-8.13
