Distrito,Personas,N_APC,N_Comunas,Desv_%
0,916429,59,10,-0.94
1,903862,51,8,-2.29
2,921173,42,11,-0.42
3,941263,61,16,1.75
4,919606,38,8,-0.59
5,915969,73,15,-0.99
6,947113,58,8,2.38
7,935325,69,9,1.11
