Distrito,Viviendas,N_APC,N_Comunas,Desv_%
0,31832,79,11,-4.85
1,32337,34,8,-3.34
2,35664,35,6,6.61
3,31450,31,7,-5.99
4,32475,62,15,-2.93
5,33497,109,17,0.13
6,35890,98,17,7.28
7,34484,3,1,3.08
