Distrito,Personas,N_APC,N_Comunas,Desv_%
0,970512,52,8,4.91
1,896546,56,11,-3.09
2,900579,36,7,-2.65
3,866078,68,8,-6.38
4,960053,49,11,3.78
5,935469,49,11,1.12
6,960715,94,18,3.85
7,910788,47,8,-1.55
