Distrito,Personas,N_Comunas,Desv_%
0,904971,10,-2.18
1,899377,7,-2.78
2,945771,8,2.24
3,926976,7,0.2
4,924957,6,-0.01
5,956042,8,3.35
6,942921,2,1.93
7,899725,4,-2.74
