CUT,partido,votos
02101,PARTIDO REPUBLICANO DE CHILE,11507
02101,PARTIDO SOCIAL CRISTIANO,10174
02101,POPULAR,1678
02101,RENOVACION NACIONAL,11843
02102,EVOLUCION POLITICA,101
02102,FEDERACION REGIONALISTA VERDE SOCIAL,248
02102,FRENTE AMPLIO,148
02102,IGUALDAD,58
02102,IND,18270
02102,PARTIDO ACCION HUMANISTA,125
02102,PARTIDO COMUNISTA DE CHILE,347
02102,PARTIDO DE LA GENTE,1404
02102,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,378
02102,PARTIDO DEMOCRATA CRISTIANO,32
02102,PARTIDO DEMOCRATAS CHILE,70
02102,PARTIDO HUMANISTA,156
02102,PARTIDO LIBERAL DE CHILE,978
02102,PARTIDO NACIONAL LIBERTARIO,271
02102,PARTIDO POR LA DEMOCRACIA,698
02102,PARTIDO RADICAL DE CHILE,229
02102,PARTIDO REPUBLICANO DE CHILE,368
02102,PARTIDO SOCIAL CRISTIANO,375
02102,POPULAR,152
02102,RENOVACION NACIONAL,566
02103,EVOLUCION POLITICA,25
02103,FEDERACION REGIONALISTA VERDE SOCIAL,26
02103,FRENTE AMPLIO,24
02103,IGUALDAD,3
02103,IND,2162
02103,PARTIDO ACCION HUMANISTA,27
02103,PARTIDO COMUNISTA DE CHILE,19
02103,PARTIDO DE LA GENTE,187
02103,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,32
02103,PARTIDO DEMOCRATA CRISTIANO,6
02103,PARTIDO DEMOCRATAS CHILE,8
02103,PARTIDO HUMANISTA,17
02103,PARTIDO LIBERAL DE CHILE,166
02103,PARTIDO NACIONAL LIBERTARIO,33
02103,PARTIDO POR LA DEMOCRACIA,50
02103,PARTIDO RADICAL DE CHILE,24
02103,PARTIDO REPUBLICANO DE CHILE,33
02103,PARTIDO SOCIAL CRISTIANO,54
02103,POPULAR,14
02103,RENOVACION NACIONAL,66
02104,EVOLUCION POLITICA,53
02104,FEDERACION REGIONALISTA VERDE SOCIAL,206
02104,FRENTE AMPLIO,338
02104,IGUALDAD,44
02104,IND,16810
02104,PARTIDO ACCION HUMANISTA,149
02104,PARTIDO COMUNISTA DE CHILE,312
02104,PARTIDO DE LA GENTE,1039
02104,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,315
02104,PARTIDO DEMOCRATA CRISTIANO,250
02104,PARTIDO DEMOCRATAS CHILE,72
02104,PARTIDO HUMANISTA,127
02104,PARTIDO LIBERAL DE CHILE,376
02104,PARTIDO NACIONAL LIBERTARIO,260
02104,PARTIDO POR LA DEMOCRACIA,730
02104,PARTIDO RADICAL DE CHILE,293
02104,PARTIDO REPUBLICANO DE CHILE,258
02104,PARTIDO SOCIAL CRISTIANO,485
02104,POPULAR,92
02104,RENOVACION NACIONAL,438
02201,EVOLUCION POLITICA,2916
02201,FEDERACION REGIONALISTA VERDE SOCIAL,8643
02201,FRENTE AMPLIO,1620
02201,IGUALDAD,983
02201,IND,216676
02201,PARTIDO ACCION HUMANISTA,1614
02201,PARTIDO COMUNISTA DE CHILE,2312
02201,PARTIDO DE LA GENTE,20175
02201,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,3332
02201,PARTIDO DEMOCRATA CRISTIANO,486
02201,PARTIDO DEMOCRATAS CHILE,7684
02201,PARTIDO HUMANISTA,1389
02201,PARTIDO LIBERAL DE CHILE,6383
02201,PARTIDO NACIONAL LIBERTARIO,4946
02201,PARTIDO POR LA DEMOCRACIA,1389
02201,PARTIDO RADICAL DE CHILE,2164
02201,PARTIDO REPUBLICANO DE CHILE,5850
02201,PARTIDO SOCIAL CRISTIANO,4954
02201,POPULAR,1259
02201,RENOVACION NACIONAL,4538
02202,EVOLUCION POLITICA,15
02202,FEDERACION REGIONALISTA VERDE SOCIAL,80
02202,FRENTE AMPLIO,13
02202,IGUALDAD,5
02202,IND,1502
02202,PARTIDO ACCION HUMANISTA,12
02202,PARTIDO COMUNISTA DE CHILE,9
02202,PARTIDO DE LA GENTE,153
02202,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,34
02202,PARTIDO DEMOCRATA CRISTIANO,2
02202,PARTIDO DEMOCRATAS CHILE,127
02202,PARTIDO HUMANISTA,5
02202,PARTIDO LIBERAL DE CHILE,48
02202,PARTIDO NACIONAL LIBERTARIO,22
02202,PARTIDO POR LA DEMOCRACIA,6
02202,PARTIDO RADICAL DE CHILE,15
02202,PARTIDO REPUBLICANO DE CHILE,16
02202,PARTIDO SOCIAL CRISTIANO,35
02202,POPULAR,4
02202,RENOVACION NACIONAL,22
02203,EVOLUCION POLITICA,42
02203,FEDERACION REGIONALISTA VERDE SOCIAL,549
02203,FRENTE AMPLIO,249
02203,IGUALDAD,69
02203,IND,13440
02203,PARTIDO ACCION HUMANISTA,133
02203,PARTIDO COMUNISTA DE CHILE,259
02203,PARTIDO DE LA GENTE,1163
02203,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,280
02203,PARTIDO DEMOCRATA CRISTIANO,53
02203,PARTIDO DEMOCRATAS CHILE,153
02203,PARTIDO HUMANISTA,225
02203,PARTIDO LIBERAL DE CHILE,209
02203,PARTIDO NACIONAL LIBERTARIO,230
02203,PARTIDO POR LA DEMOCRACIA,129
02203,PARTIDO RADICAL DE CHILE,224
02203,PARTIDO REPUBLICANO DE CHILE,230
02203,PARTIDO SOCIAL CRISTIANO,314
02203,POPULAR,106
02203,RENOVACION NACIONAL,204
02301,EVOLUCION POLITICA,146
02301,FEDERACION REGIONALISTA VERDE SOCIAL,629
02301,FRENTE AMPLIO,295
02301,IGUALDAD,105
02301,IND,34354
02301,PARTIDO ACCION HUMANISTA,234
02301,PARTIDO COMUNISTA DE CHILE,670
02301,PARTIDO DE LA GENTE,3132
02301,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,1245
02301,PARTIDO DEMOCRATA CRISTIANO,135
02301,PARTIDO DEMOCRATAS CHILE,142
02301,PARTIDO HUMANISTA,304
02301,PARTIDO LIBERAL DE CHILE,683
02301,PARTIDO NACIONAL LIBERTARIO,430
02301,PARTIDO POR LA DEMOCRACIA,381
02301,PARTIDO RADICAL DE CHILE,616
02301,PARTIDO REPUBLICANO DE CHILE,635
02301,PARTIDO SOCIAL CRISTIANO,729
02301,POPULAR,192
02301,RENOVACION NACIONAL,988
02302,EVOLUCION POLITICA,49
02302,FEDERACION REGIONALISTA VERDE SOCIAL,75
02302,FRENTE AMPLIO,46
02302,IGUALDAD,24
02302,IND,6516
02302,PARTIDO ACCION HUMANISTA,70
02302,PARTIDO COMUNISTA DE CHILE,114
02302,PARTIDO DE LA GENTE,621
02302,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,124
02302,PARTIDO DEMOCRATA CRISTIANO,26
02302,PARTIDO DEMOCRATAS CHILE,25
02302,PARTIDO HUMANISTA,74
02302,PARTIDO LIBERAL DE CHILE,324
02302,PARTIDO NACIONAL LIBERTARIO,62
02302,PARTIDO POR LA DEMOCRACIA,46
02302,PARTIDO RADICAL DE CHILE,99
02302,PARTIDO REPUBLICANO DE CHILE,116
02302,PARTIDO SOCIAL CRISTIANO,135
02302,POPULAR,49
02302,RENOVACION NACIONAL,128
03101,EVOLUCION POLITICA,380
03101,FEDERACION REGIONALISTA VERDE SOCIAL,15703
03101,IND,221688
03101,PARTIDO COMUNISTA DE CHILE,8518
03101,PARTIDO DE LA GENTE,13672
03101,PARTIDO NACIONAL LIBERTARIO,4672
03101,PARTIDO POR LA DEMOCRACIA,3646
03101,PARTIDO REPUBLICANO DE CHILE,9309
03101,PARTIDO SOCIAL CRISTIANO,3897
03101,PARTIDO SOCIALISTA DE CHILE,8756
03101,POPULAR,6834
03101,RENOVACION NACIONAL,14976
03101,UNION DEMOCRATA INDEPENDIENTE,1481
03102,EVOLUCION POLITICA,69
03102,FEDERACION REGIONALISTA VERDE SOCIAL,2982
03102,IND,28224
03102,PARTIDO COMUNISTA DE CHILE,907
03102,PARTIDO DE LA GENTE,1628
03102,PARTIDO NACIONAL LIBERTARIO,669
03102,PARTIDO POR LA DEMOCRACIA,784
03102,PARTIDO REPUBLICANO DE CHILE,1129
03102,PARTIDO SOCIAL CRISTIANO,244
03102,PARTIDO SOCIALISTA DE CHILE,1211
03102,POPULAR,676
03102,RENOVACION NACIONAL,1004
03102,UNION DEMOCRATA INDEPENDIENTE,189
03103,EVOLUCION POLITICA,27
03103,FEDERACION REGIONALISTA VERDE SOCIAL,1462
03103,IND,21266
03103,PARTIDO COMUNISTA DE CHILE,697
03103,PARTIDO DE LA GENTE,1433
03103,PARTIDO NACIONAL LIBERTARIO,242
03103,PARTIDO POR LA DEMOCRACIA,451
03103,PARTIDO REPUBLICANO DE CHILE,569
03103,PARTIDO SOCIAL CRISTIANO,179
03103,PARTIDO SOCIALISTA DE CHILE,483
03103,POPULAR,280
03103,RENOVACION NACIONAL,517
03103,UNION DEMOCRATA INDEPENDIENTE,2114
03201,EVOLUCION POLITICA,18
03201,FEDERACION REGIONALISTA VERDE SOCIAL,1662
03201,IND,18744
03201,PARTIDO COMUNISTA DE CHILE,640
03201,PARTIDO DE LA GENTE,1434
03201,PARTIDO NACIONAL LIBERTARIO,217
03201,PARTIDO POR LA DEMOCRACIA,340
03201,PARTIDO REPUBLICANO DE CHILE,814
03201,PARTIDO SOCIAL CRISTIANO,200
03201,PARTIDO SOCIALISTA DE CHILE,1000
03201,POPULAR,341
03201,RENOVACION NACIONAL,395
03201,UNION DEMOCRATA INDEPENDIENTE,103
03202,EVOLUCION POLITICA,30
03202,FEDERACION REGIONALISTA VERDE SOCIAL,1034
03202,IND,16720
03202,PARTIDO COMUNISTA DE CHILE,820
03202,PARTIDO DE LA GENTE,2477
03202,PARTIDO NACIONAL LIBERTARIO,269
03202,PARTIDO POR LA DEMOCRACIA,401
03202,PARTIDO REPUBLICANO DE CHILE,653
03202,PARTIDO SOCIAL CRISTIANO,136
03202,PARTIDO SOCIALISTA DE CHILE,369
03202,POPULAR,185
03202,RENOVACION NACIONAL,254
03202,UNION DEMOCRATA INDEPENDIENTE,75
03301,EVOLUCION POLITICA,751
03301,FEDERACION REGIONALISTA VERDE SOCIAL,5499
03301,IND,79910
03301,PARTIDO COMUNISTA DE CHILE,577
03301,PARTIDO DE LA GENTE,2978
03301,PARTIDO NACIONAL LIBERTARIO,1071
03301,PARTIDO POR LA DEMOCRACIA,11914
03301,PARTIDO REPUBLICANO DE CHILE,2264
03301,PARTIDO SOCIAL CRISTIANO,360
03301,PARTIDO SOCIALISTA DE CHILE,6651
03301,POPULAR,566
03301,RENOVACION NACIONAL,838
03301,UNION DEMOCRATA INDEPENDIENTE,239
03302,EVOLUCION POLITICA,95
03302,FEDERACION REGIONALISTA VERDE SOCIAL,896
03302,IND,8438
03302,PARTIDO COMUNISTA DE CHILE,75
03302,PARTIDO DE LA GENTE,530
03302,PARTIDO NACIONAL LIBERTARIO,75
03302,PARTIDO POR LA DEMOCRACIA,666
03302,PARTIDO REPUBLICANO DE CHILE,215
03302,PARTIDO SOCIAL CRISTIANO,84
03302,PARTIDO SOCIALISTA DE CHILE,518
03302,POPULAR,170
03302,RENOVACION NACIONAL,91
03302,UNION DEMOCRATA INDEPENDIENTE,18
03303,EVOLUCION POLITICA,83
03303,FEDERACION REGIONALISTA VERDE SOCIAL,1313
03303,IND,11086
03303,PARTIDO COMUNISTA DE CHILE,150
03303,PARTIDO DE LA GENTE,578
03303,PARTIDO NACIONAL LIBERTARIO,90
03303,PARTIDO POR LA DEMOCRACIA,666
03303,PARTIDO REPUBLICANO DE CHILE,261
03303,PARTIDO SOCIAL CRISTIANO,52
03303,PARTIDO SOCIALISTA DE CHILE,985
03303,POPULAR,103
03303,RENOVACION NACIONAL,105
03303,UNION DEMOCRATA INDEPENDIENTE,50
03304,EVOLUCION POLITICA,74
03304,FEDERACION REGIONALISTA VERDE SOCIAL,1635
03304,IND,14996
03304,PARTIDO COMUNISTA DE CHILE,217
03304,PARTIDO DE LA GENTE,831
03304,PARTIDO NACIONAL LIBERTARIO,207
03304,PARTIDO POR LA DEMOCRACIA,755
03304,PARTIDO REPUBLICANO DE CHILE,491
03304,PARTIDO SOCIAL CRISTIANO,109
03304,PARTIDO SOCIALISTA DE CHILE,1294
03304,POPULAR,154
03304,RENOVACION NACIONAL,215
03304,UNION DEMOCRATA INDEPENDIENTE,59
04101,EVOLUCION POLITICA,1731
04101,FEDERACION REGIONALISTA VERDE SOCIAL,1802
04101,FRENTE AMPLIO,4520
04101,IGUALDAD,4673
04101,IND,348630
04101,MOVIMIENTO AMARILLOS POR CHILE,22267
04101,PARTIDO ACCION HUMANISTA,4043
04101,PARTIDO COMUNISTA DE CHILE,7227
04101,PARTIDO DE LA GENTE,15773
04101,PARTIDO DEMOCRATA CRISTIANO,3212
04101,PARTIDO DEMOCRATAS CHILE,1387
04101,PARTIDO NACIONAL LIBERTARIO,12021
04101,PARTIDO POR LA DEMOCRACIA,1432
04101,PARTIDO RADICAL DE CHILE,1632
04101,PARTIDO REPUBLICANO DE CHILE,8564
04101,PARTIDO SOCIAL CRISTIANO,5026
04101,PARTIDO SOCIALISTA DE CHILE,22241
04101,RENOVACION NACIONAL,8013
04101,UNION DEMOCRATA INDEPENDIENTE,13319
04102,EVOLUCION POLITICA,2763
04102,FEDERACION REGIONALISTA VERDE SOCIAL,4076
04102,FRENTE AMPLIO,2731
04102,IGUALDAD,3485
04102,IND,334555
04102,MOVIMIENTO AMARILLOS POR CHILE,4156
04102,PARTIDO ACCION HUMANISTA,2797
04102,PARTIDO COMUNISTA DE CHILE,4186
04102,PARTIDO DE LA GENTE,13489
04102,PARTIDO DEMOCRATA CRISTIANO,1568
04102,PARTIDO DEMOCRATAS CHILE,839
04102,PARTIDO NACIONAL LIBERTARIO,8949
04102,PARTIDO POR LA DEMOCRACIA,1165
04102,PARTIDO RADICAL DE CHILE,615
04102,PARTIDO REPUBLICANO DE CHILE,6275
04102,PARTIDO SOCIAL CRISTIANO,4711
04102,PARTIDO SOCIALISTA DE CHILE,53955
04102,RENOVACION NACIONAL,5432
04102,UNION DEMOCRATA INDEPENDIENTE,11703
04103,EVOLUCION POLITICA,54
04103,FEDERACION REGIONALISTA VERDE SOCIAL,75
04103,FRENTE AMPLIO,171
04103,IGUALDAD,320
04103,IND,19898
04103,MOVIMIENTO AMARILLOS POR CHILE,240
04103,PARTIDO ACCION HUMANISTA,276
04103,PARTIDO COMUNISTA DE CHILE,541
04103,PARTIDO DE LA GENTE,1087
04103,PARTIDO DEMOCRATA CRISTIANO,274
04103,PARTIDO DEMOCRATAS CHILE,55
04103,PARTIDO NACIONAL LIBERTARIO,358
04103,PARTIDO POR LA DEMOCRACIA,57
04103,PARTIDO RADICAL DE CHILE,85
04103,PARTIDO REPUBLICANO DE CHILE,256
04103,PARTIDO SOCIAL CRISTIANO,282
04103,PARTIDO SOCIALISTA DE CHILE,1797
04103,RENOVACION NACIONAL,395
04103,UNION DEMOCRATA INDEPENDIENTE,697
04104,EVOLUCION POLITICA,24
04104,FEDERACION REGIONALISTA VERDE SOCIAL,133
04104,FRENTE AMPLIO,68
04104,IGUALDAD,184
04104,IND,7882
04104,MOVIMIENTO AMARILLOS POR CHILE,227
04104,PARTIDO ACCION HUMANISTA,108
04104,PARTIDO COMUNISTA DE CHILE,151
04104,PARTIDO DE LA GENTE,642
04104,PARTIDO DEMOCRATA CRISTIANO,57
04104,PARTIDO DEMOCRATAS CHILE,25
04104,PARTIDO NACIONAL LIBERTARIO,148
04104,PARTIDO POR LA DEMOCRACIA,27
04104,PARTIDO RADICAL DE CHILE,18
04104,PARTIDO REPUBLICANO DE CHILE,83
04104,PARTIDO SOCIAL CRISTIANO,82
04104,PARTIDO SOCIALISTA DE CHILE,418
04104,RENOVACION NACIONAL,169
04104,UNION DEMOCRATA INDEPENDIENTE,347
04105,EVOLUCION POLITICA,64
04105,FEDERACION REGIONALISTA VERDE SOCIAL,56
04105,FRENTE AMPLIO,108
04105,IGUALDAD,150
04105,IND,8896
04105,MOVIMIENTO AMARILLOS POR CHILE,167
04105,PARTIDO ACCION HUMANISTA,118
04105,PARTIDO COMUNISTA DE CHILE,178
04105,PARTIDO DE LA GENTE,384
04105,PARTIDO DEMOCRATA CRISTIANO,80
04105,PARTIDO DEMOCRATAS CHILE,42
04105,PARTIDO NACIONAL LIBERTARIO,228
04105,PARTIDO POR LA DEMOCRACIA,21
04105,PARTIDO RADICAL DE CHILE,321
04105,PARTIDO REPUBLICANO DE CHILE,121
04105,PARTIDO SOCIAL CRISTIANO,110
04105,PARTIDO SOCIALISTA DE CHILE,416
04105,RENOVACION NACIONAL,317
04105,UNION DEMOCRATA INDEPENDIENTE,503
04106,EVOLUCION POLITICA,404
04106,FEDERACION REGIONALISTA VERDE SOCIAL,159
04106,FRENTE AMPLIO,464
04106,IGUALDAD,627
04106,IND,44214
04106,MOVIMIENTO AMARILLOS POR CHILE,584
04106,PARTIDO ACCION HUMANISTA,406
04106,PARTIDO COMUNISTA DE CHILE,516
04106,PARTIDO DE LA GENTE,1939
04106,PARTIDO DEMOCRATA CRISTIANO,274
04106,PARTIDO DEMOCRATAS CHILE,96
04106,PARTIDO NACIONAL LIBERTARIO,1190
04106,PARTIDO POR LA DEMOCRACIA,120
04106,PARTIDO RADICAL DE CHILE,5045
04106,PARTIDO REPUBLICANO DE CHILE,548
04106,PARTIDO SOCIAL CRISTIANO,348
04106,PARTIDO SOCIALISTA DE CHILE,1261
04106,RENOVACION NACIONAL,608
04106,UNION DEMOCRATA INDEPENDIENTE,2230
04201,EVOLUCION POLITICA,67
04201,FEDERACION REGIONALISTA VERDE SOCIAL,134
04201,FRENTE AMPLIO,1136
04201,IGUALDAD,639
04201,IND,49103
04201,MOVIMIENTO AMARILLOS POR CHILE,447
04201,PARTIDO ACCION HUMANISTA,462
04201,PARTIDO COMUNISTA DE CHILE,924
04201,PARTIDO DE LA GENTE,8412
04201,PARTIDO DEMOCRATA CRISTIANO,1198
04201,PARTIDO DEMOCRATAS CHILE,101
04201,PARTIDO NACIONAL LIBERTARIO,1006
04201,PARTIDO POR LA DEMOCRACIA,1287
04201,PARTIDO RADICAL DE CHILE,98
04201,PARTIDO REPUBLICANO DE CHILE,791
04201,PARTIDO SOCIAL CRISTIANO,411
04201,PARTIDO SOCIALISTA DE CHILE,1382
04201,RENOVACION NACIONAL,397
04201,UNION DEMOCRATA INDEPENDIENTE,815
04202,EVOLUCION POLITICA,28
04202,FEDERACION REGIONALISTA VERDE SOCIAL,64
04202,FRENTE AMPLIO,299
04202,IGUALDAD,267
04202,IND,16168
04202,MOVIMIENTO AMARILLOS POR CHILE,173
04202,PARTIDO ACCION HUMANISTA,258
04202,PARTIDO COMUNISTA DE CHILE,1039
