CUT,partido,votos
06103,MOVIMIENTO AMARILLOS POR CHILE,158
06103,PARTIDO ACCION HUMANISTA,111
06103,PARTIDO ALIANZA VERDE POPULAR,159
06103,PARTIDO COMUNISTA DE CHILE,106
06103,PARTIDO DE LA GENTE,438
06103,PARTIDO DEMOCRATAS CHILE,163
06103,PARTIDO NACIONAL LIBERTARIO,258
06103,PARTIDO POR LA DEMOCRACIA,1420
06103,PARTIDO RADICAL DE CHILE,50
06103,PARTIDO REPUBLICANO DE CHILE,419
06103,PARTIDO SOCIAL CRISTIANO,113
06103,PARTIDO SOCIALISTA DE CHILE,262
06103,RENOVACION NACIONAL,355
06103,UNION DEMOCRATA INDEPENDIENTE,1361
06104,FEDERACION REGIONALISTA VERDE SOCIAL,333
06104,FRENTE AMPLIO,524
06104,IND,33278
06104,MOVIMIENTO AMARILLOS POR CHILE,408
06104,PARTIDO ACCION HUMANISTA,389
06104,PARTIDO ALIANZA VERDE POPULAR,383
06104,PARTIDO COMUNISTA DE CHILE,268
06104,PARTIDO DE LA GENTE,1289
06104,PARTIDO DEMOCRATAS CHILE,292
06104,PARTIDO NACIONAL LIBERTARIO,571
06104,PARTIDO POR LA DEMOCRACIA,2760
06104,PARTIDO RADICAL DE CHILE,89
06104,PARTIDO REPUBLICANO DE CHILE,1219
06104,PARTIDO SOCIAL CRISTIANO,391
06104,PARTIDO SOCIALISTA DE CHILE,740
06104,RENOVACION NACIONAL,1003
06104,UNION DEMOCRATA INDEPENDIENTE,2224
06105,FEDERACION REGIONALISTA VERDE SOCIAL,420
06105,FRENTE AMPLIO,574
06105,IND,36390
06105,MOVIMIENTO AMARILLOS POR CHILE,399
06105,PARTIDO ACCION HUMANISTA,357
06105,PARTIDO ALIANZA VERDE POPULAR,278
06105,PARTIDO COMUNISTA DE CHILE,377
06105,PARTIDO DE LA GENTE,1348
06105,PARTIDO DEMOCRATAS CHILE,322
06105,PARTIDO NACIONAL LIBERTARIO,604
06105,PARTIDO POR LA DEMOCRACIA,4716
06105,PARTIDO RADICAL DE CHILE,156
06105,PARTIDO REPUBLICANO DE CHILE,1585
06105,PARTIDO SOCIAL CRISTIANO,290
06105,PARTIDO SOCIALISTA DE CHILE,919
06105,RENOVACION NACIONAL,636
06105,UNION DEMOCRATA INDEPENDIENTE,1720
06106,FEDERACION REGIONALISTA VERDE SOCIAL,442
06106,FRENTE AMPLIO,982
06106,IND,52668
06106,MOVIMIENTO AMARILLOS POR CHILE,343
06106,PARTIDO ACCION HUMANISTA,8162
06106,PARTIDO ALIANZA VERDE POPULAR,316
06106,PARTIDO COMUNISTA DE CHILE,420
06106,PARTIDO DE LA GENTE,1456
06106,PARTIDO DEMOCRATAS CHILE,481
06106,PARTIDO NACIONAL LIBERTARIO,924
06106,PARTIDO POR LA DEMOCRACIA,3507
06106,PARTIDO RADICAL DE CHILE,249
06106,PARTIDO REPUBLICANO DE CHILE,1525
06106,PARTIDO SOCIAL CRISTIANO,329
06106,PARTIDO SOCIALISTA DE CHILE,852
06106,RENOVACION NACIONAL,741
06106,UNION DEMOCRATA INDEPENDIENTE,1484
06107,EVOLUCION POLITICA,170
06107,FEDERACION REGIONALISTA VERDE SOCIAL,1089
06107,FRENTE AMPLIO,1846
06107,IND,42700
06107,PARTIDO ACCION HUMANISTA,233
06107,PARTIDO DE LA GENTE,2223
06107,PARTIDO DEMOCRATA CRISTIANO,524
06107,PARTIDO NACIONAL LIBERTARIO,723
06107,PARTIDO POR LA DEMOCRACIA,2113
06107,PARTIDO RADICAL DE CHILE,536
06107,PARTIDO REPUBLICANO DE CHILE,3130
06107,PARTIDO SOCIAL CRISTIANO,128
06107,PARTIDO SOCIALISTA DE CHILE,1445
06107,RENOVACION NACIONAL,811
06107,UNION DEMOCRATA INDEPENDIENTE,1208
06108,FEDERACION REGIONALISTA VERDE SOCIAL,1505
06108,FRENTE AMPLIO,2377
06108,IND,81266
06108,MOVIMIENTO AMARILLOS POR CHILE,899
06108,PARTIDO ACCION HUMANISTA,570
06108,PARTIDO ALIANZA VERDE POPULAR,541
06108,PARTIDO COMUNISTA DE CHILE,1422
06108,PARTIDO DE LA GENTE,3422
06108,PARTIDO DEMOCRATAS CHILE,1763
06108,PARTIDO NACIONAL LIBERTARIO,1847
06108,PARTIDO POR LA DEMOCRACIA,4818
06108,PARTIDO RADICAL DE CHILE,371
06108,PARTIDO REPUBLICANO DE CHILE,5187
06108,PARTIDO SOCIAL CRISTIANO,647
06108,PARTIDO SOCIALISTA DE CHILE,2613
06108,RENOVACION NACIONAL,2257
06108,UNION DEMOCRATA INDEPENDIENTE,3667
06109,FEDERACION REGIONALISTA VERDE SOCIAL,178
06109,FRENTE AMPLIO,199
06109,IND,23974
06109,MOVIMIENTO AMARILLOS POR CHILE,323
06109,PARTIDO ACCION HUMANISTA,256
06109,PARTIDO ALIANZA VERDE POPULAR,298
06109,PARTIDO COMUNISTA DE CHILE,143
06109,PARTIDO DE LA GENTE,899
06109,PARTIDO DEMOCRATAS CHILE,387
06109,PARTIDO NACIONAL LIBERTARIO,391
06109,PARTIDO POR LA DEMOCRACIA,2305
06109,PARTIDO RADICAL DE CHILE,62
06109,PARTIDO REPUBLICANO DE CHILE,957
06109,PARTIDO SOCIAL CRISTIANO,341
06109,PARTIDO SOCIALISTA DE CHILE,474
06109,RENOVACION NACIONAL,597
06109,UNION DEMOCRATA INDEPENDIENTE,1272
06110,FEDERACION REGIONALISTA VERDE SOCIAL,483
06110,FRENTE AMPLIO,782
06110,IND,42654
06110,MOVIMIENTO AMARILLOS POR CHILE,571
06110,PARTIDO ACCION HUMANISTA,1124
06110,PARTIDO ALIANZA VERDE POPULAR,478
06110,PARTIDO COMUNISTA DE CHILE,447
06110,PARTIDO DE LA GENTE,1918
06110,PARTIDO DEMOCRATAS CHILE,554
06110,PARTIDO NACIONAL LIBERTARIO,810
06110,PARTIDO POR LA DEMOCRACIA,2972
06110,PARTIDO RADICAL DE CHILE,326
06110,PARTIDO REPUBLICANO DE CHILE,1870
06110,PARTIDO SOCIAL CRISTIANO,487
06110,PARTIDO SOCIALISTA DE CHILE,1071
06110,RENOVACION NACIONAL,741
06110,UNION DEMOCRATA INDEPENDIENTE,1708
06111,FEDERACION REGIONALISTA VERDE SOCIAL,300
06111,FRENTE AMPLIO,637
06111,IND,24786
06111,MOVIMIENTO AMARILLOS POR CHILE,410
06111,PARTIDO ACCION HUMANISTA,240
06111,PARTIDO ALIANZA VERDE POPULAR,232
06111,PARTIDO COMUNISTA DE CHILE,190
06111,PARTIDO DE LA GENTE,1109
06111,PARTIDO DEMOCRATAS CHILE,331
06111,PARTIDO NACIONAL LIBERTARIO,480
06111,PARTIDO POR LA DEMOCRACIA,1828
06111,PARTIDO RADICAL DE CHILE,81
06111,PARTIDO REPUBLICANO DE CHILE,1082
06111,PARTIDO SOCIAL CRISTIANO,249
06111,PARTIDO SOCIALISTA DE CHILE,562
06111,RENOVACION NACIONAL,557
06111,UNION DEMOCRATA INDEPENDIENTE,1540
06112,EVOLUCION POLITICA,113
06112,FEDERACION REGIONALISTA VERDE SOCIAL,715
06112,FRENTE AMPLIO,1273
06112,IND,24164
06112,PARTIDO ACCION HUMANISTA,137
06112,PARTIDO DE LA GENTE,1342
06112,PARTIDO DEMOCRATA CRISTIANO,196
06112,PARTIDO NACIONAL LIBERTARIO,277
06112,PARTIDO POR LA DEMOCRACIA,135
06112,PARTIDO RADICAL DE CHILE,181
06112,PARTIDO REPUBLICANO DE CHILE,1282
06112,PARTIDO SOCIAL CRISTIANO,61
06112,PARTIDO SOCIALISTA DE CHILE,1921
06112,RENOVACION NACIONAL,575
06112,UNION DEMOCRATA INDEPENDIENTE,942
06113,EVOLUCION POLITICA,114
06113,FEDERACION REGIONALISTA VERDE SOCIAL,1037
06113,FRENTE AMPLIO,2056
06113,IND,33548
06113,PARTIDO ACCION HUMANISTA,161
06113,PARTIDO DE LA GENTE,1797
06113,PARTIDO DEMOCRATA CRISTIANO,799
06113,PARTIDO NACIONAL LIBERTARIO,488
06113,PARTIDO POR LA DEMOCRACIA,133
06113,PARTIDO RADICAL DE CHILE,1393
06113,PARTIDO REPUBLICANO DE CHILE,1781
06113,PARTIDO SOCIAL CRISTIANO,114
06113,PARTIDO SOCIALISTA DE CHILE,748
06113,RENOVACION NACIONAL,794
06113,UNION DEMOCRATA INDEPENDIENTE,1484
06114,FEDERACION REGIONALISTA VERDE SOCIAL,156
06114,FRENTE AMPLIO,344
06114,IND,23626
06114,MOVIMIENTO AMARILLOS POR CHILE,234
06114,PARTIDO ACCION HUMANISTA,204
06114,PARTIDO ALIANZA VERDE POPULAR,232
06114,PARTIDO COMUNISTA DE CHILE,169
06114,PARTIDO DE LA GENTE,698
06114,PARTIDO DEMOCRATAS CHILE,205
06114,PARTIDO NACIONAL LIBERTARIO,373
06114,PARTIDO POR LA DEMOCRACIA,3139
06114,PARTIDO RADICAL DE CHILE,61
06114,PARTIDO REPUBLICANO DE CHILE,851
06114,PARTIDO SOCIAL CRISTIANO,226
06114,PARTIDO SOCIALISTA DE CHILE,501
06114,RENOVACION NACIONAL,696
06114,UNION DEMOCRATA INDEPENDIENTE,1164
06115,FEDERACION REGIONALISTA VERDE SOCIAL,566
06115,FRENTE AMPLIO,1097
06115,IND,96347
06115,MOVIMIENTO AMARILLOS POR CHILE,844
06115,PARTIDO ACCION HUMANISTA,785
06115,PARTIDO ALIANZA VERDE POPULAR,1022
06115,PARTIDO COMUNISTA DE CHILE,755
06115,PARTIDO DE LA GENTE,3931
06115,PARTIDO DEMOCRATAS CHILE,914
06115,PARTIDO NACIONAL LIBERTARIO,1627
06115,PARTIDO POR LA DEMOCRACIA,13952
06115,PARTIDO RADICAL DE CHILE,611
06115,PARTIDO REPUBLICANO DE CHILE,3410
06115,PARTIDO SOCIAL CRISTIANO,1504
06115,PARTIDO SOCIALISTA DE CHILE,1885
06115,RENOVACION NACIONAL,2823
06115,UNION DEMOCRATA INDEPENDIENTE,2948
06116,FEDERACION REGIONALISTA VERDE SOCIAL,424
06116,FRENTE AMPLIO,789
06116,IND,46566
06116,MOVIMIENTO AMARILLOS POR CHILE,557
06116,PARTIDO ACCION HUMANISTA,493
06116,PARTIDO ALIANZA VERDE POPULAR,401
06116,PARTIDO COMUNISTA DE CHILE,335
06116,PARTIDO DE LA GENTE,1930
06116,PARTIDO DEMOCRATAS CHILE,493
06116,PARTIDO NACIONAL LIBERTARIO,740
06116,PARTIDO POR LA DEMOCRACIA,5079
06116,PARTIDO RADICAL DE CHILE,130
06116,PARTIDO REPUBLICANO DE CHILE,2288
06116,PARTIDO SOCIAL CRISTIANO,425
06116,PARTIDO SOCIALISTA DE CHILE,846
06116,RENOVACION NACIONAL,1347
06116,UNION DEMOCRATA INDEPENDIENTE,2276
06117,EVOLUCION POLITICA,276
06117,FEDERACION REGIONALISTA VERDE SOCIAL,7122
06117,FRENTE AMPLIO,1875
06117,IND,78714
06117,PARTIDO ACCION HUMANISTA,368
06117,PARTIDO DE LA GENTE,3496
06117,PARTIDO DEMOCRATA CRISTIANO,490
06117,PARTIDO NACIONAL LIBERTARIO,1278
06117,PARTIDO POR LA DEMOCRACIA,292
06117,PARTIDO RADICAL DE CHILE,909
06117,PARTIDO REPUBLICANO DE CHILE,4371
06117,PARTIDO SOCIAL CRISTIANO,212
06117,PARTIDO SOCIALISTA DE CHILE,2334
06117,RENOVACION NACIONAL,1762
06117,UNION DEMOCRATA INDEPENDIENTE,5682
06201,EVOLUCION POLITICA,162
06201,FEDERACION REGIONALISTA VERDE SOCIAL,1548
06201,FRENTE AMPLIO,1083
06201,IND,33868
06201,PARTIDO ACCION HUMANISTA,653
06201,PARTIDO DE LA GENTE,1484
06201,PARTIDO DEMOCRATA CRISTIANO,436
06201,PARTIDO NACIONAL LIBERTARIO,755
06201,PARTIDO POR LA DEMOCRACIA,174
06201,PARTIDO RADICAL DE CHILE,343
06201,PARTIDO REPUBLICANO DE CHILE,1826
06201,PARTIDO SOCIAL CRISTIANO,128
06201,PARTIDO SOCIALISTA DE CHILE,1331
06201,RENOVACION NACIONAL,1492
06201,UNION DEMOCRATA INDEPENDIENTE,2089
06202,EVOLUCION POLITICA,197
06202,FEDERACION REGIONALISTA VERDE SOCIAL,198
06202,FRENTE AMPLIO,143
06202,IND,7818
06202,PARTIDO ACCION HUMANISTA,73
06202,PARTIDO DE LA GENTE,384
06202,PARTIDO DEMOCRATA CRISTIANO,72
06202,PARTIDO NACIONAL LIBERTARIO,176
06202,PARTIDO POR LA DEMOCRACIA,52
06202,PARTIDO RADICAL DE CHILE,247
06202,PARTIDO REPUBLICANO DE CHILE,410
06202,PARTIDO SOCIAL CRISTIANO,16
06202,PARTIDO SOCIALISTA DE CHILE,212
06202,RENOVACION NACIONAL,600
06202,UNION DEMOCRATA INDEPENDIENTE,324
06203,EVOLUCION POLITICA,837
06203,FEDERACION REGIONALISTA VERDE SOCIAL,457
06203,FRENTE AMPLIO,651
06203,IND,14937
06203,PARTIDO ACCION HUMANISTA,78
06203,PARTIDO DE LA GENTE,654
06203,PARTIDO DEMOCRATA CRISTIANO,132
06203,PARTIDO NACIONAL LIBERTARIO,298
06203,PARTIDO POR LA DEMOCRACIA,90
06203,PARTIDO RADICAL DE CHILE,67
06203,PARTIDO REPUBLICANO DE CHILE,804
06203,PARTIDO SOCIAL CRISTIANO,74
06203,PARTIDO SOCIALISTA DE CHILE,455
06203,RENOVACION NACIONAL,679
06203,UNION DEMOCRATA INDEPENDIENTE,688
06204,EVOLUCION POLITICA,95
06204,FEDERACION REGIONALISTA VERDE SOCIAL,529
06204,FRENTE AMPLIO,311
06204,IND,15198
06204,PARTIDO ACCION HUMANISTA,73
06204,PARTIDO DE LA GENTE,673
06204,PARTIDO DEMOCRATA CRISTIANO,335
06204,PARTIDO NACIONAL LIBERTARIO,273
06204,PARTIDO POR LA DEMOCRACIA,111
06204,PARTIDO RADICAL DE CHILE,186
06204,PARTIDO REPUBLICANO DE CHILE,583
06204,PARTIDO SOCIAL CRISTIANO,39
06204,PARTIDO SOCIALISTA DE CHILE,556
06204,RENOVACION NACIONAL,1234
06204,UNION DEMOCRATA INDEPENDIENTE,887
06205,EVOLUCION POLITICA,241
06205,FEDERACION REGIONALISTA VERDE SOCIAL,507
06205,FRENTE AMPLIO,733
06205,IND,15432
06205,PARTIDO ACCION HUMANISTA,122
06205,PARTIDO DE LA GENTE,638
06205,PARTIDO DEMOCRATA CRISTIANO,187
06205,PARTIDO NACIONAL LIBERTARIO,349
06205,PARTIDO POR LA DEMOCRACIA,66
06205,PARTIDO RADICAL DE CHILE,244
06205,PARTIDO REPUBLICANO DE CHILE,795
06205,PARTIDO SOCIAL CRISTIANO,65
06205,PARTIDO SOCIALISTA DE CHILE,653
06205,RENOVACION NACIONAL,645
06205,UNION DEMOCRATA INDEPENDIENTE,477
06206,EVOLUCION POLITICA,29
06206,FEDERACION REGIONALISTA VERDE SOCIAL,2958
06206,FRENTE AMPLIO,208
06206,IND,13236
06206,PARTIDO ACCION HUMANISTA,58
06206,PARTIDO DE LA GENTE,508
06206,PARTIDO DEMOCRATA CRISTIANO,126
06206,PARTIDO NACIONAL LIBERTARIO,155
06206,PARTIDO POR LA DEMOCRACIA,47
06206,PARTIDO RADICAL DE CHILE,68
06206,PARTIDO REPUBLICANO DE CHILE,398
06206,PARTIDO SOCIAL CRISTIANO,11
06206,PARTIDO SOCIALISTA DE CHILE,428
06206,RENOVACION NACIONAL,433
06206,UNION DEMOCRATA INDEPENDIENTE,271
06301,EVOLUCION POLITICA,327
06301,FEDERACION REGIONALISTA VERDE SOCIAL,7423
06301,FRENTE AMPLIO,2586
06301,IND,118932
06301,PARTIDO ACCION HUMANISTA,436
06301,PARTIDO DE LA GENTE,4616
06301,PARTIDO DEMOCRATA CRISTIANO,1249
06301,PARTIDO NACIONAL LIBERTARIO,1845
06301,PARTIDO POR LA DEMOCRACIA,322
06301,PARTIDO RADICAL DE CHILE,3314
06301,PARTIDO REPUBLICANO DE CHILE,4487
06301,PARTIDO SOCIAL CRISTIANO,237
06301,PARTIDO SOCIALISTA DE CHILE,4697
06301,RENOVACION NACIONAL,2488
06301,UNION DEMOCRATA INDEPENDIENTE,13568
06302,EVOLUCION POLITICA,63
06302,FEDERACION REGIONALISTA VERDE SOCIAL,667
06302,FRENTE AMPLIO,304
06302,IND,26666
06302,PARTIDO ACCION HUMANISTA,81
06302,PARTIDO DE LA GENTE,2389
06302,PARTIDO DEMOCRATA CRISTIANO,1046
06302,PARTIDO NACIONAL LIBERTARIO,336
06302,PARTIDO POR LA DEMOCRACIA,93
06302,PARTIDO RADICAL DE CHILE,794
06302,PARTIDO REPUBLICANO DE CHILE,1495
06302,PARTIDO SOCIAL CRISTIANO,70
06302,PARTIDO SOCIALISTA DE CHILE,524
06302,RENOVACION NACIONAL,1451
06302,UNION DEMOCRATA INDEPENDIENTE,1337
06303,EVOLUCION POLITICA,107
06303,FEDERACION REGIONALISTA VERDE SOCIAL,985
06303,FRENTE AMPLIO,3925
06303,IND,59850
06303,PARTIDO ACCION HUMANISTA,157
06303,PARTIDO DE LA GENTE,2373
06303,PARTIDO DEMOCRATA CRISTIANO,381
06303,PARTIDO NACIONAL LIBERTARIO,819
06303,PARTIDO POR LA DEMOCRACIA,134
06303,PARTIDO RADICAL DE CHILE,7098
06303,PARTIDO REPUBLICANO DE CHILE,2231
06303,PARTIDO SOCIAL CRISTIANO,199
06303,PARTIDO SOCIALISTA DE CHILE,1801
06303,RENOVACION NACIONAL,1272
06303,UNION DEMOCRATA INDEPENDIENTE,3062
06304,EVOLUCION POLITICA,28
06304,FEDERACION REGIONALISTA VERDE SOCIAL,1635
06304,FRENTE AMPLIO,134
06304,IND,13428
06304,PARTIDO ACCION HUMANISTA,44
06304,PARTIDO DE LA GENTE,721
06304,PARTIDO DEMOCRATA CRISTIANO,103
06304,PARTIDO NACIONAL LIBERTARIO,178
06304,PARTIDO POR LA DEMOCRACIA,51
06304,PARTIDO RADICAL DE CHILE,676
06304,PARTIDO REPUBLICANO DE CHILE,358
06304,PARTIDO SOCIAL CRISTIANO,15
06304,PARTIDO SOCIALISTA DE CHILE,427
06304,RENOVACION NACIONAL,575
06304,UNION DEMOCRATA INDEPENDIENTE,634
06305,EVOLUCION POLITICA,78
06305,FEDERACION REGIONALISTA VERDE SOCIAL,1480
06305,FRENTE AMPLIO,1223
06305,IND,29956
06305,PARTIDO ACCION HUMANISTA,98
06305,PARTIDO DE LA GENTE,1402
06305,PARTIDO DEMOCRATA CRISTIANO,490
06305,PARTIDO NACIONAL LIBERTARIO,424
06305,PARTIDO POR LA DEMOCRACIA,99
06305,PARTIDO RADICAL DE CHILE,854
06305,PARTIDO REPUBLICANO DE CHILE,1175
06305,PARTIDO SOCIAL CRISTIANO,75
06305,PARTIDO SOCIALISTA DE CHILE,1124
06305,RENOVACION NACIONAL,1497
06305,UNION DEMOCRATA INDEPENDIENTE,2028
06306,EVOLUCION POLITICA,50
06306,FEDERACION REGIONALISTA VERDE SOCIAL,422
06306,FRENTE AMPLIO,172
06306,IND,21212
06306,PARTIDO ACCION HUMANISTA,47
06306,PARTIDO DE LA GENTE,665
06306,PARTIDO DEMOCRATA CRISTIANO,3676
06306,PARTIDO NACIONAL LIBERTARIO,246
06306,PARTIDO POR LA DEMOCRACIA,43
06306,PARTIDO RADICAL DE CHILE,120
06306,PARTIDO REPUBLICANO DE CHILE,643
06306,PARTIDO SOCIAL CRISTIANO,59
06306,PARTIDO SOCIALISTA DE CHILE,796
06306,RENOVACION NACIONAL,1134
06306,UNION DEMOCRATA INDEPENDIENTE,1046
06307,EVOLUCION POLITICA,47
06307,FEDERACION REGIONALISTA VERDE SOCIAL,604
06307,FRENTE AMPLIO,168
06307,IND,20062
06307,PARTIDO ACCION HUMANISTA,67
06307,PARTIDO DE LA GENTE,778
06307,PARTIDO DEMOCRATA CRISTIANO,1337
06307,PARTIDO NACIONAL LIBERTARIO,218
06307,PARTIDO POR LA DEMOCRACIA,62
06307,PARTIDO RADICAL DE CHILE,89
06307,PARTIDO REPUBLICANO DE CHILE,1432
06307,PARTIDO SOCIAL CRISTIANO,39
06307,PARTIDO SOCIALISTA DE CHILE,1210
06307,RENOVACION NACIONAL,1302
06307,UNION DEMOCRATA INDEPENDIENTE,936
06308,EVOLUCION POLITICA,44
06308,FEDERACION REGIONALISTA VERDE SOCIAL,541
06308,FRENTE AMPLIO,1168
06308,IND,16372
06308,PARTIDO ACCION HUMANISTA,43
06308,PARTIDO DE LA GENTE,664
06308,PARTIDO DEMOCRATA CRISTIANO,177
06308,PARTIDO NACIONAL LIBERTARIO,241
06308,PARTIDO POR LA DEMOCRACIA,49
06308,PARTIDO RADICAL DE CHILE,428
06308,PARTIDO REPUBLICANO DE CHILE,581
06308,PARTIDO SOCIAL CRISTIANO,35
06308,PARTIDO SOCIALISTA DE CHILE,727
06308,RENOVACION NACIONAL,592
06308,UNION DEMOCRATA INDEPENDIENTE,1385
06309,EVOLUCION POLITICA,20
06309,FEDERACION REGIONALISTA VERDE SOCIAL,213
06309,FRENTE AMPLIO,67
06309,IND,8310
06309,PARTIDO ACCION HUMANISTA,25
06309,PARTIDO DE LA GENTE,400
06309,PARTIDO DEMOCRATA CRISTIANO,274
06309,PARTIDO NACIONAL LIBERTARIO,121
06309,PARTIDO POR LA DEMOCRACIA,35
06309,PARTIDO RADICAL DE CHILE,41
06309,PARTIDO REPUBLICANO DE CHILE,377
06309,PARTIDO SOCIAL CRISTIANO,16
06309,PARTIDO SOCIALISTA DE CHILE,250
06309,RENOVACION NACIONAL,437
06309,UNION DEMOCRATA INDEPENDIENTE,1164
06310,EVOLUCION POLITICA,131
06310,FEDERACION REGIONALISTA VERDE SOCIAL,2657
06310,FRENTE AMPLIO,648
06310,IND,61362
06310,PARTIDO ACCION HUMANISTA,156
06310,PARTIDO DE LA GENTE,2223
06310,PARTIDO DEMOCRATA CRISTIANO,4557
06310,PARTIDO NACIONAL LIBERTARIO,914
06310,PARTIDO POR LA DEMOCRACIA,148
06310,PARTIDO RADICAL DE CHILE,260
06310,PARTIDO REPUBLICANO DE CHILE,2170
06310,PARTIDO SOCIAL CRISTIANO,90
06310,PARTIDO SOCIALISTA DE CHILE,1442
06310,RENOVACION NACIONAL,6260
06310,UNION DEMOCRATA INDEPENDIENTE,3443
07101,EVOLUCION POLITICA,21867
07101,FEDERACION REGIONALISTA VERDE SOCIAL,4010
07101,FRENTE AMPLIO,27208
07101,IND,344945
07101,PARTIDO ACCION HUMANISTA,3131
07101,PARTIDO DE LA GENTE,15371
07101,PARTIDO DEMOCRATA CRISTIANO,2899
07101,PARTIDO DEMOCRATAS CHILE,746
07101,PARTIDO NACIONAL LIBERTARIO,16881
07101,PARTIDO RADICAL DE CHILE,4956
07101,PARTIDO REPUBLICANO DE CHILE,15067
07101,PARTIDO SOCIAL CRISTIANO,8060
07101,PARTIDO SOCIALISTA DE CHILE,8152
07101,RENOVACION NACIONAL,4786
07101,UNION DEMOCRATA INDEPENDIENTE,9791
07102,EVOLUCION POLITICA,6290
07102,FEDERACION REGIONALISTA VERDE SOCIAL,450
07102,FRENTE AMPLIO,1746
07102,IND,72840
07102,PARTIDO ACCION HUMANISTA,612
07102,PARTIDO DE LA GENTE,3004
07102,PARTIDO DEMOCRATA CRISTIANO,350
07102,PARTIDO DEMOCRATAS CHILE,639
07102,PARTIDO NACIONAL LIBERTARIO,785
07102,PARTIDO RADICAL DE CHILE,11870
07102,PARTIDO REPUBLICANO DE CHILE,2116
07102,PARTIDO SOCIAL CRISTIANO,575
07102,PARTIDO SOCIALISTA DE CHILE,689
07102,RENOVACION NACIONAL,486
07102,UNION DEMOCRATA INDEPENDIENTE,1042
07103,EVOLUCION POLITICA,579
07103,FEDERACION REGIONALISTA VERDE SOCIAL,233
07103,FRENTE AMPLIO,1041
07103,IND,18006
07103,PARTIDO ACCION HUMANISTA,227
07103,PARTIDO DE LA GENTE,713
07103,PARTIDO DEMOCRATA CRISTIANO,406
07103,PARTIDO DEMOCRATAS CHILE,30
07103,PARTIDO NACIONAL LIBERTARIO,239
07103,PARTIDO RADICAL DE CHILE,799
07103,PARTIDO REPUBLICANO DE CHILE,729
07103,PARTIDO SOCIAL CRISTIANO,244
07103,PARTIDO SOCIALISTA DE CHILE,234
07103,RENOVACION NACIONAL,197
07103,UNION DEMOCRATA INDEPENDIENTE,1263
07104,EVOLUCION POLITICA,295
07104,FEDERACION REGIONALISTA VERDE SOCIAL,117
07104,FRENTE AMPLIO,142
07104,IND,8020
07104,PARTIDO ACCION HUMANISTA,142
07104,PARTIDO DE LA GENTE,291
07104,PARTIDO DEMOCRATA CRISTIANO,24
07104,PARTIDO DEMOCRATAS CHILE,389
07104,PARTIDO NACIONAL LIBERTARIO,124
07104,PARTIDO RADICAL DE CHILE,1094
07104,PARTIDO REPUBLICANO DE CHILE,329
07104,PARTIDO SOCIAL CRISTIANO,120
07104,PARTIDO SOCIALISTA DE CHILE,47
07104,RENOVACION NACIONAL,82
07104,UNION DEMOCRATA INDEPENDIENTE,175
07105,EVOLUCION POLITICA,3332
07105,FEDERACION REGIONALISTA VERDE SOCIAL,733
07105,FRENTE AMPLIO,3500
07105,IND,59165
07105,PARTIDO ACCION HUMANISTA,585
07105,PARTIDO DE LA GENTE,3431
07105,PARTIDO DEMOCRATA CRISTIANO,690
07105,PARTIDO DEMOCRATAS CHILE,166
07105,PARTIDO NACIONAL LIBERTARIO,2058
07105,PARTIDO RADICAL DE CHILE,936
07105,PARTIDO REPUBLICANO DE CHILE,2976
07105,PARTIDO SOCIAL CRISTIANO,1647
07105,PARTIDO SOCIALISTA DE CHILE,1147
07105,RENOVACION NACIONAL,933
07105,UNION DEMOCRATA INDEPENDIENTE,1780
07106,EVOLUCION POLITICA,351
07106,FEDERACION REGIONALISTA VERDE SOCIAL,115
07106,FRENTE AMPLIO,553
07106,IND,17940
07106,PARTIDO ACCION HUMANISTA,115
07106,PARTIDO DE LA GENTE,533
07106,PARTIDO DEMOCRATA CRISTIANO,134
07106,PARTIDO DEMOCRATAS CHILE,21
07106,PARTIDO NACIONAL LIBERTARIO,318
07106,PARTIDO RADICAL DE CHILE,138
07106,PARTIDO REPUBLICANO DE CHILE,576
07106,PARTIDO SOCIAL CRISTIANO,4287
07106,PARTIDO SOCIALISTA DE CHILE,152
07106,RENOVACION NACIONAL,143
07106,UNION DEMOCRATA INDEPENDIENTE,217
07107,EVOLUCION POLITICA,1007
07107,FEDERACION REGIONALISTA VERDE SOCIAL,249
07107,FRENTE AMPLIO,852
07107,IND,19146
07107,PARTIDO ACCION HUMANISTA,167
07107,PARTIDO DE LA GENTE,720
07107,PARTIDO DEMOCRATA CRISTIANO,193
07107,PARTIDO DEMOCRATAS CHILE,46
07107,PARTIDO NACIONAL LIBERTARIO,559
07107,PARTIDO RADICAL DE CHILE,1072
07107,PARTIDO REPUBLICANO DE CHILE,1020
07107,PARTIDO SOCIAL CRISTIANO,671
07107,PARTIDO SOCIALISTA DE CHILE,216
07107,RENOVACION NACIONAL,278
07107,UNION DEMOCRATA INDEPENDIENTE,811
07108,EVOLUCION POLITICA,1328
07108,FEDERACION REGIONALISTA VERDE SOCIAL,269
07108,FRENTE AMPLIO,708
07108,IND,24167
07108,PARTIDO ACCION HUMANISTA,263
07108,PARTIDO DE LA GENTE,988
07108,PARTIDO DEMOCRATA CRISTIANO,2362
07108,PARTIDO DEMOCRATAS CHILE,32
07108,PARTIDO NACIONAL LIBERTARIO,314
07108,PARTIDO RADICAL DE CHILE,310
07108,PARTIDO REPUBLICANO DE CHILE,1371
07108,PARTIDO SOCIAL CRISTIANO,739
