CUT,cod_candidato,nombre_candidato,partido,pacto,votos
9113,66022079,FELIPE MARTINEZ REYES,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,115.0
9113,66022080,DEBORAH NEGRETE PLAZA,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,89.0
9119,66022051,VALENTINA SAEZ CASANOVA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,261.0
9119,66022052,RAUL HUILCAL BARRIA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,103.0
9119,66022053,WANGLEN MILA HUENUMILLA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,161.0
9119,66022054,EDUARDO CUELLAR FERREIRA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,81.0
9119,66022055,EMILIA COÑUMIL QUIÑIMIL,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",333.0
9119,66022056,LAUTARO GUANCA VALLEJOS,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",71.0
9119,66022057,JUAN PABLO JARAMILLO GONZALEZ,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",189.0
9119,66022058,ANDREA PARRA SAUTEREL,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,960.0
9119,66022059,PATRICIO POZA BARRERA,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,1953.0
9119,66022060,LUIS PENCHULEO MORALES,FRENTE AMPLIO,UNIDAD POR CHILE,763.0
9119,66022061,MANUELA ROYO LETELIER,FRENTE AMPLIO,UNIDAD POR CHILE,348.0
9119,66022062,XIMENA SEPULVEDA VARAS,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,208.0
9119,66022063,MARCELA ROA SUAZO,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,232.0
9119,66022064,JAVIERA FRANCISCA VICTORIA IBARRA LARENAS,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,171.0
9119,66022065,LLERY YANIRA CARRASCO ESPINOZA,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,138.0
9119,66022066,EDITH ELENA PALMA MENDEZ,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,125.0
9119,66022067,DANIELA NATALY GONZALEZ FARIÑA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,853.0
9119,66022068,GUIDO ANTONIO DIAZ VERGARA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,339.0
9119,66022069,ALEXIS OJEDA ALTAMIRANO,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,594.0
9119,66022070,PATRICIA DEL CARMEN MUÑOZ BELTRAN,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,255.0
9119,66022071,RAMIRO ADRIAN RODRIGUEZ MAUREIRA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,169.0
9119,66022072,JUAN CARLOS BELTRAN SILVA,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,2189.0
9119,66022073,EDUARDO CRETTON REBOLLEDO,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,1810.0
9119,66022074,VICTOR MANOLI NAZAL,EVOLUCION POLITICA,CHILE GRANDE Y UNIDO,103.0
9119,66022075,JORGE SAFFIRIO ESPINOZA,PARTIDO DEMOCRATAS CHILE,CHILE GRANDE Y UNIDO,1921.0
9119,66022076,GLORIA NAVEILLAN ARRIAGADA,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,1285.0
9119,66022077,VICTOR BADILLA URRA,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,352.0
9119,66022078,ROBERTO QUINTANA BURGOS,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,522.0
9119,66022079,FELIPE MARTINEZ REYES,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,857.0
9119,66022080,DEBORAH NEGRETE PLAZA,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,682.0
9201,66022051,VALENTINA SAEZ CASANOVA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,401.0
9201,66022052,RAUL HUILCAL BARRIA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,145.0
9201,66022053,WANGLEN MILA HUENUMILLA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,187.0
