Distrito,Personas,N_APC,N_Comunas,Desv_%
0,935873,51,12,1.17
1,905731,56,12,-2.09
2,892633,70,12,-3.51
3,914368,48,12,-1.16
4,924810,55,9,-0.03
5,920108,52,8,-0.54
6,963253,48,8,4.13
7,943964,71,11,2.04
