plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,23.807,0.239,239,26.0,1.4125,0.7806,-2.2359042019971245
1,23.807,0.2574,238,18.0,1.4969,0.6529,-1.2458159049950543
