Distrito,Viviendas,N_APC,N_Comunas,Desv_%
0,32476,55,9,-2.92
1,33326,79,10,-0.38
2,32019,116,20,-4.29
3,31499,87,13,-5.84
4,34309,35,7,2.56
5,35944,4,1,7.44
6,34763,57,10,3.91
7,33293,18,5,-0.48
