Distrito,Personas,N_APC,N_Comunas,Desv_%
0,935463,51,8,1.12
1,944451,66,10,2.09
2,950778,53,9,2.78
3,891356,75,14,-3.65
4,940063,46,10,1.62
5,934441,44,7,1.01
6,890859,60,12,-3.7
7,913329,56,12,-1.27
