step,cut_edges,max_dev_pct
398,259,22.423
399,258,21.494
400,274,23.481
401,266,23.481
402,271,23.691
403,283,18.517
404,282,15.691
405,293,16.774
406,286,17.312
407,277,17.312
408,274,21.622
409,274,21.622
410,282,22.295
411,270,17.312
412,263,20.502
413,280,20.502
414,281,20.502
415,272,23.727
416,264,24.42
417,280,24.42
418,278,24.42
419,270,20.502
420,276,20.012
421,275,20.012
422,257,22.603
423,256,23.793
424,254,22.603
425,258,22.692
426,252,22.692
427,255,24.322
428,276,24.322
429,279,23.769
430,286,23.769
431,287,24.472
432,283,22.692
433,275,23.661
434,290,23.661
435,293,23.661
436,318,22.692
437,325,24.354
438,337,24.354
439,326,24.354
440,331,24.354
441,337,24.354
442,338,23.741
443,337,23.554
444,316,20.713
445,323,20.713
446,319,20.275
447,314,20.839
448,316,23.333
449,298,23.333
450,295,20.839
451,275,20.839
452,283,12.012
453,279,12.012
454,268,22.585
455,266,22.585
456,268,21.526
457,278,20.042
458,278,20.042
459,273,20.765
460,265,20.765
461,261,20.765
462,276,20.765
463,270,20.765
464,267,19.79
465,265,19.79
466,261,16.296
467,257,14.457
468,257,22.397
469,237,24.014
470,251,24.014
471,262,23.647
472,268,23.647
473,248,23.647
474,247,23.647
475,242,23.647
476,245,23.647
477,242,23.647
478,241,23.647
479,240,23.647
480,228,24.436
481,234,23.386
482,235,23.386
483,237,23.386
484,255,23.386
485,263,23.386
486,271,23.386
487,279,23.386
488,288,23.386
489,283,23.386
490,264,23.386
491,273,23.251
492,272,23.251
493,268,22.795
494,273,22.355
495,279,23.034
496,296,23.034
497,299,23.034
498,293,19.56
499,284,19.56
500,253,21.467
501,251,21.467
502,255,21.467
503,253,21.467
504,246,19.001
505,256,15.677
506,264,22.543
507,241,22.543
508,234,23.673
509,220,23.673
510,228,23.673
511,229,23.673
512,236,23.673
513,231,22.131
514,225,24.388
515,231,24.388
516,232,24.388
517,236,24.388
518,235,24.388
519,243,24.388
520,236,24.388
521,229,24.388
522,229,24.388
523,225,24.388
524,230,24.388
525,229,24.388
526,222,24.388
527,229,24.388
528,234,23.694
529,240,23.694
530,250,23.694
531,254,23.694
532,253,23.694
533,251,24.151
534,244,24.151
535,238,23.694
536,262,20.474
537,259,20.008
538,263,22.468
539,235,22.468
540,224,21.912
541,238,21.912
542,237,23.341
543,227,23.341
544,262,23.341
545,222,23.341
546,240,23.341
547,243,23.341
548,238,23.341
549,235,23.341
550,225,23.371
551,237,23.341
552,246,23.341
553,243,23.341
554,249,23.341
555,261,23.685
556,262,23.685
557,261,23.685
558,253,23.685
559,240,24.418
560,254,24.418
561,255,24.418
562,257,24.429
563,255,24.429
564,258,24.429
565,248,24.429
566,255,24.429
567,260,24.429
568,264,24.569
569,264,24.569
570,242,24.569
571,263,24.569
572,264,24.569
573,260,21.535
574,256,22.752
575,246,22.752
576,245,22.752
577,260,22.752
578,256,22.752
579,251,24.585
580,261,24.585
581,248,24.585
582,254,24.585
583,271,24.585
584,267,24.585
585,273,24.585
586,272,24.585
587,293,24.585
588,283,21.544
589,268,24.537
590,258,18.771
591,270,18.771
592,266,18.771
593,266,18.771
594,272,18.998
595,250,18.771
596,260,18.771
597,255,18.771
598,251,18.771
599,253,24.433
600,249,24.433
601,258,24.433
602,253,24.433
603,252,24.433
604,257,24.433
605,258,24.433
606,256,24.433
607,240,24.433
608,238,24.433
609,238,18.977
610,234,19.001
611,236,19.001
612,241,19.001
613,237,21.939
614,230,21.939
615,230,22.83
616,232,22.83
617,234,23.634
618,239,19.909
619,239,18.11
620,229,18.11
621,228,19.037
622,240,19.037
623,241,19.037
624,245,19.037
625,244,19.037
626,247,22.582
627,253,22.582
628,261,21.655
629,258,24.525
630,260,24.525
631,263,24.525
632,256,24.525
633,276,24.525
634,276,24.525
635,277,23.544
636,277,23.544
637,281,23.544
638,286,23.544
639,279,23.544
640,271,24.549
641,264,23.544
642,257,23.544
643,257,23.544
644,273,23.544
645,265,24.118
646,265,24.118
647,264,24.118
648,264,24.118
649,259,24.118
650,264,24.118
651,270,24.118
652,268,22.328
653,263,22.328
654,251,22.328
655,251,22.328
656,252,22.328
657,275,17.525
658,267,23.171
659,273,23.171
660,272,24.572
661,276,24.572
662,276,24.572
663,278,18.759
