Distrito,Viviendas,N_APC,N_Comunas,Desv_%
0,32908,34,6,-1.63
1,34001,62,13,1.64
2,32366,50,10,-3.25
3,33241,88,14,-0.64
4,31798,75,15,-4.95
5,33634,117,19,0.54
6,35111,7,2,4.95
7,34570,18,5,3.34
