Distrito,Viviendas,N_APC,N_Comunas,Desv_%
0,33704,84,14,0.75
1,33366,76,12,-0.26
2,32766,101,19,-2.06
3,33685,45,10,0.69
4,34484,3,1,3.08
5,32006,26,6,-4.33
6,32976,97,15,-1.43
7,34642,19,6,3.55
