Distrito,Viviendas,N_APC,N_Comunas,Desv_%
0,31039,87,14,-7.22
1,34104,37,7,1.94
2,36740,73,12,9.82
3,36162,21,7,8.1
4,32751,67,12,-2.1
5,34484,3,1,3.08
6,32185,109,20,-3.79
7,30164,54,10,-9.83
