plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,22.765,0.2961,258,24.0,1.559,0.7235,-1.0719326758807164
1,22.765,0.2565,252,27.0,1.5093,0.7839,-1.5195448756360737
2,22.765,0.2585,247,24.0,1.4823,0.7436,-1.4763838178612634
3,22.833,0.3024,230,24.0,1.6205,0.7718,-0.8914728694013899
4,22.833,0.2183,229,26.0,1.5985,0.7922,-1.8875968992200827
5,22.833,0.2489,228,29.0,1.3249,0.792,-1.5198683741800982
