combinacion,gallagher,loosemore_hanby,rae,enp_votos,enp_escanos,escanos_mayor_partido,n_partidos_con_escanos,ratio_max_min_pxe,peso_relativo_max,peso_relativo_min,seat_bonus_max,modo_dhondt,modo_magnitudes
Fijas + Uninivel,5.9053,15.8195,1.2656,14.1922,10.378,27,20,,,,4.7744,uninivel,fijas
Fijas + Binivel,5.9053,15.8195,1.2656,14.1922,10.378,27,20,,,,4.7744,binivel,fijas
Calculadas + Uninivel,10.7267,26.5102,2.1208,14.1922,8.2238,19,16,,,,9.3566,uninivel,calculadas
Calculadas + Binivel,10.7267,26.5102,2.1208,14.1922,8.2238,19,16,,,,9.3566,binivel,calculadas
