plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
186,5.87,,253,21.0,1.3668,0.7025,-1.3776705533635338
187,5.642,,253,,,,-1.3627075057538045
188,5.642,,250,,,,-1.3528390847011762
189,5.642,0.2128,266,,,,-1.6814078909580852
190,5.642,,257,27.0,1.9545,0.7478,-1.438822678563655
191,6.946,,250,,,,-1.508280734478796
192,6.946,0.2318,250,,,,-1.6185684414445436
193,6.946,,254,,,,-1.521438629215634
194,6.946,,284,21.0,1.2997,0.6944,-1.5993246816462814
195,7.505,,282,,,,-1.680178771380929
196,6.479,,291,,,,-1.5874810186861774
197,6.479,,303,,,,-1.6269547028966909
198,6.479,,304,,,,-1.6302441765809004
199,6.479,,290,27.0,1.6799,0.8351,-1.612024750423926
200,6.479,,266,,,,-1.5052441765809415
201,5.81,,265,,,,-1.4222074147822932
202,5.81,,270,,,,-1.4386547832033405
203,7.621,,265,24.0,1.4131,0.7174,-1.6317921805630307
204,7.621,,255,,,,-1.60519061332921
205,7.941,,250,,,,-1.6268884350376398
206,7.941,,257,,,,-1.6499147508271061
207,7.914,0.2345,256,,,,-1.7301548150110333
208,7.914,,259,27.0,1.7298,0.7905,-1.687491109774553
209,7.914,,254,,,,-1.636827829357303
210,8.374,,285,,,,-1.7936352243789195
211,7.914,0.2924,280,,,,-1.3043070661738168
212,7.914,,277,24.0,1.2702,0.6768,-1.687914222432548
213,7.723,,276,,,,-1.6864283400513789
214,7.723,,276,,,,-1.6864283400513789
215,8.389,0.233,278,,,,-1.8722225963734371
216,8.389,,281,,,,-1.782265385429401
217,7.837,,285,27.0,1.8277,0.8535,-1.7763611234299463
