Distrito,Viviendas,N_APC,N_Comunas,Desv_%
0,32463,65,13,-2.96
1,31875,46,7,-4.72
2,33119,31,6,-1.0
3,34421,123,21,2.89
4,34840,91,12,4.14
5,34758,72,13,3.9
6,32193,14,3,-3.77
7,33960,9,3,1.51
