Distrito,Viviendas,N_APC,N_Comunas,Desv_%
0,32403,45,9,-3.14
1,34216,66,9,2.28
2,35379,89,14,5.76
3,34139,12,2,2.05
4,31615,14,5,-5.5
5,32415,56,12,-3.1
6,35069,47,8,4.83
7,32393,122,23,-3.17
