Distrito,Viviendas,N_APC,N_Comunas,Desv_%
0,35756,102,17,6.88
1,35216,25,6,5.27
2,34168,82,11,2.14
3,32292,68,15,-3.47
4,30510,22,6,-8.8
5,33693,93,21,0.72
6,34059,8,3,1.81
7,31935,51,8,-4.54
