Distrito,Personas,N_APC,N_Comunas,Desv_%
0,879208,56,8,-4.96
1,980835,40,6,6.03
2,966902,77,13,4.52
3,959749,53,8,3.75
4,903987,55,10,-2.28
5,835170,51,8,-9.72
6,902581,58,10,-2.43
7,972308,61,10,5.1
