CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13119,MAIPÚ,2,"[2, 6]",503635,0.0681,0.068052
13110,LA FLORIDA,2,"[1, 7]",374834,0.0506,0.050648
13120,ÑUÑOA,2,"[3, 7]",241467,0.0326,0.032627
13122,PEÑALOLÉN,2,"[3, 7]",236478,0.032,0.031953
13105,EL BOSQUE,2,"[1, 6]",155256,0.021,0.020978
13127,RECOLETA,2,"[4, 5]",154615,0.0209,0.020892
13130,SAN MIGUEL,2,"[5, 7]",150829,0.0204,0.02038
13123,PROVIDENCIA,3,"[3, 5, 7]",143973,0.0195,0.038908
13128,RENCA,3,"[0, 4, 5]",143622,0.0194,0.038813
13126,QUINTA NORMAL,2,"[0, 5]",129352,0.0175,0.017478
13108,INDEPENDENCIA,2,"[4, 5]",116944,0.0158,0.015802
13111,LA GRANJA,2,"[1, 7]",112022,0.0151,0.015137
13109,LA CISTERNA,2,"[6, 7]",103157,0.0139,0.013939
13102,CERRILLOS,2,"[0, 6]",85041,0.0115,0.011491
13404,PAINE,2,"[2, 6]",78827,0.0107,0.010651
13603,ISLA DE MAIPO,2,"[2, 6]",39275,0.0053,0.005307
13503,CURACAVÍ,3,"[0, 2, 4]",35165,0.0048,0.009503
13202,PIRQUE,2,"[1, 6]",29060,0.0039,0.003927
