Distrito,Personas,N_APC,N_Comunas,Desv_%
0,989422,49,4,6.95
1,997142,76,13,7.79
2,902879,52,7,-2.4
3,900382,59,6,-2.67
4,933810,65,5,0.94
5,853274,47,5,-7.76
6,965496,51,6,4.37
7,858335,52,6,-7.22
