Distrito,Viviendas,N_APC,N_Comunas,Desv_%
0,31636,39,8,-5.43
1,34316,29,6,2.58
2,35820,82,12,7.07
3,35872,38,7,7.23
4,33924,68,14,1.41
5,31739,73,8,-5.13
6,32418,11,3,-3.1
7,31904,111,20,-4.63
