Distrito,Personas,N_APC,N_Comunas,Desv_%
0,945918,69,13,2.25
1,922729,42,6,-0.26
2,916533,47,7,-0.93
3,874212,62,9,-5.5
4,946136,55,13,2.27
5,977718,57,8,5.69
6,894611,41,9,-3.29
7,922883,78,16,-0.24
