Distrito,Personas,N_APC,N_Comunas,Desv_%
0,927159,45,7,0.22
1,916829,54,10,-0.89
2,935546,67,16,1.13
3,939688,60,13,1.58
4,939289,79,13,1.53
5,920614,48,7,-0.48
6,904947,40,8,-2.18
7,916668,58,11,-0.91
