Distrito,Viviendas,N_APC,N_Comunas,Desv_%
0,34451,39,8,2.98
1,35032,137,25,4.72
2,32307,78,11,-3.43
3,31852,16,5,-4.79
4,33151,48,10,-0.9
5,32625,69,13,-2.48
6,33099,13,3,-1.06
7,35112,51,8,4.96
