step,cut_edges,max_dev_pct
398,271,3.933
399,256,3.105
400,251,3.105
401,247,3.105
402,249,3.105
403,249,5.816
404,250,5.816
405,251,5.816
406,247,5.816
407,250,5.816
408,250,5.816
409,258,5.816
410,262,5.816
411,264,5.308
412,273,5.308
413,273,5.308
414,288,5.308
415,301,5.308
416,299,3.071
417,288,5.066
418,263,5.066
419,255,5.917
420,242,5.066
421,232,5.066
422,230,4.73
423,230,5.612
424,243,5.818
425,241,5.818
426,253,5.971
427,253,5.971
428,254,5.971
429,243,4.282
430,244,3.335
431,239,3.58
432,225,3.58
433,223,3.58
434,219,3.58
435,216,4.572
436,214,4.572
437,216,4.619
438,222,3.729
439,220,5.211
440,231,5.628
441,230,5.628
442,226,5.628
443,241,5.628
444,235,5.628
445,239,5.628
446,235,5.628
447,236,5.628
448,236,5.628
449,254,5.628
450,256,5.251
451,256,5.251
452,255,5.251
453,256,5.251
454,256,5.251
455,238,5.301
456,230,5.301
457,231,5.251
458,226,5.504
459,223,5.822
460,228,5.822
461,222,5.822
462,210,6.013
463,214,5.822
464,213,5.822
465,216,5.822
466,244,5.854
467,240,5.822
468,244,5.977
469,246,5.822
470,229,5.822
471,228,4.519
472,236,5.612
473,236,5.631
474,268,5.944
475,265,5.631
476,266,5.861
477,278,5.861
478,276,5.861
479,266,5.861
480,265,5.502
481,265,5.502
482,243,5.89
483,246,5.89
484,251,5.502
485,235,5.502
486,227,5.6
487,221,5.502
488,226,5.502
489,237,5.654
490,260,5.935
491,276,5.935
492,282,5.935
493,283,5.947
494,295,5.947
495,300,5.947
496,298,5.947
497,296,5.947
498,290,5.947
499,289,5.947
500,282,5.604
501,282,6.015
502,275,6.015
503,282,6.015
504,285,6.015
505,292,6.015
506,292,6.015
507,256,5.789
508,256,5.789
509,260,5.789
510,269,5.46
511,274,5.46
512,279,5.077
513,284,3.316
514,275,5.218
515,295,3.531
516,299,5.719
517,292,5.719
518,298,5.719
519,291,5.719
520,291,5.719
521,275,5.719
522,279,5.719
523,259,5.719
524,244,5.719
525,241,5.719
526,236,5.719
527,239,5.935
528,229,5.935
529,227,5.935
530,227,5.719
531,227,5.719
532,234,5.634
533,244,5.166
534,234,5.298
535,229,5.298
536,213,5.298
537,219,4.432
538,219,5.009
539,221,5.009
540,223,5.009
541,223,5.009
542,232,4.504
543,231,4.504
544,242,3.08
545,243,4.838
546,221,5.409
547,220,5.409
548,227,4.838
549,221,5.057
550,235,5.057
551,237,5.561
552,232,5.561
553,248,5.561
554,227,5.684
555,243,5.561
556,250,5.561
557,253,4.809
558,255,5.388
559,262,4.809
560,259,5.451
561,243,4.809
562,239,3.974
563,238,4.638
564,238,4.638
565,224,4.888
566,220,4.888
567,224,4.638
568,212,4.638
569,215,5.113
570,215,3.529
571,216,3.726
572,214,5.158
573,213,5.158
574,208,4.12
575,207,4.12
576,223,4.12
577,222,3.589
578,223,3.589
579,223,3.589
580,223,3.589
581,234,4.133
582,243,4.133
583,250,4.133
584,237,4.133
585,242,5.622
586,240,5.622
587,231,5.622
588,236,5.622
589,234,5.622
590,235,5.622
591,230,5.349
592,235,5.349
593,245,4.273
594,243,4.273
595,271,4.921
596,252,4.921
597,263,4.921
598,258,4.921
599,258,4.921
600,273,4.921
601,265,4.193
602,284,4.193
603,284,4.193
604,265,4.193
605,252,4.229
606,257,5.546
607,265,5.546
608,236,5.546
609,230,5.582
610,230,5.203
611,234,5.438
612,235,5.438
613,230,5.438
614,221,5.897
615,232,5.897
616,253,5.897
617,252,5.897
618,254,5.897
619,254,5.173
620,253,5.173
621,251,5.716
622,265,5.716
623,264,5.149
624,263,4.703
625,264,4.703
626,273,5.305
627,264,5.305
628,268,5.6
629,269,5.6
630,270,5.642
631,278,5.642
632,277,5.642
633,265,5.642
634,262,5.199
635,245,5.199
636,248,5.199
637,242,5.036
638,244,4.985
639,243,4.985
640,241,4.985
641,248,4.985
642,251,3.971
643,250,3.75
644,247,3.08
645,247,3.08
646,258,5.275
647,253,3.371
648,252,3.371
649,240,4.596
650,237,5.852
651,240,5.852
652,240,5.852
653,244,5.852
654,244,4.748
655,241,4.626
656,236,5.807
657,239,5.807
658,240,5.807
659,245,5.807
660,250,4.981
661,249,4.626
662,250,2.919
663,250,4.318
664,253,4.318
665,254,4.455
666,255,4.318
667,262,5.32
668,253,5.32
669,250,4.318
670,273,5.505
671,265,4.318
672,279,4.318
673,289,4.318
674,272,4.315
675,266,4.91
676,284,4.91
677,283,4.91
678,282,4.716
679,281,3.978
680,285,3.978
681,268,3.978
682,269,5.953
683,276,5.953
684,277,4.581
685,270,4.581
686,273,4.581
687,276,4.581
688,269,4.581
689,280,4.303
690,273,4.303
691,264,4.019
692,264,4.232
693,257,4.232
694,248,5.601
695,254,5.722
696,257,5.722
697,252,5.722
698,246,5.601
699,236,5.903
700,235,4.805
701,242,4.805
702,242,4.659
703,238,3.747
704,246,3.021
705,250,3.021
706,244,5.935
707,234,5.935
708,234,5.989
709,232,5.935
710,229,5.935
711,235,5.935
712,220,5.935
713,240,5.935
714,232,5.935
715,230,5.935
716,234,5.935
717,232,5.935
718,263,5.935
719,273,5.821
720,284,5.821
721,281,4.593
722,298,4.743
723,269,4.743
724,267,4.743
725,260,5.935
726,255,5.935
727,275,5.935
728,283,5.845
729,268,5.845
730,245,5.845
731,246,5.845
732,236,5.845
733,233,5.75
734,234,5.75
735,230,5.75
736,249,5.75
737,264,5.09
738,253,5.09
739,253,5.09
740,246,5.379
741,244,5.597
