Distrito,Viviendas,N_APC,N_Comunas,Desv_%
0,35196,127,20,5.21
1,31876,68,9,-4.72
2,32567,69,14,-2.65
3,32753,46,11,-2.09
4,35274,71,15,5.44
5,34094,53,11,1.91
6,31595,13,5,-5.56
7,34274,4,1,2.45
