plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,16.727,0.2511,276,25.0,1.3651,0.7713,-1.449651147973713
1,16.727,0.2351,256,25.0,1.3905,0.7921,-1.5199579226201627
2,16.727,0.2201,253,25.0,1.3905,0.7921,-1.639750378194882
3,17.569,0.2095,251,28.0,1.4236,0.8331,-1.7755071042171346
4,17.569,0.2459,255,22.0,1.3982,0.7072,-1.4695289668006872
5,18.209,0.2911,257,26.0,1.8689,0.822,-1.1811594211417291
6,17.569,0.1763,244,29.0,1.7267,0.7884,-2.079888631910068
